UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.01499925,73,24,0,0.177144728,6107,4,0,0,0,0
0.562195097,61,17,1,0.535281677,5200,9,0,1,0,2
0.699286478,60,26,0,0.332913121,9518,16,0,0,0,1
0.043804489,56,23,0,0.278236088,6666,14,0,1,0,0
0.349705438,39,7,0,0.363331569,5666,8,0,2,0,4
0.964660487,52,18,1,0.331133773,5000,2,0,0,0,1
0.527420091,34,8,0,0.196063506,9195,9,0,0,0,3
0.029597632,43,8,0,0.767203858,8500,6,0,2,0,5
0.575857927,61,22,0,0.476325311,6356,7,0,1,0,2
0.080894139,41,11,0,0.135394706,4268,9,0,1,0,1
0.038569438,49,12,0,0.157653529,12000,8,0,1,0,1
0.322111859,34,7,0,0.742183742,2078,6,0,2,0,1
0.093923857,46,12,0,0.293463317,8000,9,0,2,0,1
0,53,20,0,0.518413598,6000,18,0,2,0,1
0.042187955,27,3,0,202.5,1,7,0,0,0,0
0.260687685,47,10,0,0.18119094,6666,7,0,1,0,4
0.9999999,32,7,0,0.745308311,2610,6,0,1,0,1
0.589955973,40,9,0,0.214247456,5600,5,0,0,0,1
0.047187184,71,18,0,0.398309756,5442,9,0,1,0,0
0.811651872,41,11,4,0.438960095,11000,18,0,1,2,3
0.224622675,70,31,1,0.167458627,6102,6,0,0,0,0
0.019075456,52,13,0,0.001787082,3916,2,0,0,0,0
0.48503006,59,26,1,0.668832792,4000,20,0,1,1,0
0.043106366,40,8,0,0.158853588,4500,5,0,0,0,2
0.284185923,45,14,0,0.41233023,6552,9,0,1,0,1
0.017191066,60,23,1,0.2987,9999,9,0,1,0,0
0.094094968,56,21,0,0.565801487,7666,10,0,3,0,1
0.069005075,36,7,0,0.172243701,7500,8,0,1,0,0
0.615129613,47,12,0,0.432129078,2850,13,0,0,0,1
0.469909265,33,6,0,0.355431755,8974,5,0,1,0,1
0.003937418,62,20,0,0.160841825,10500,9,0,2,0,0
0.98010671,53,17,0,0.766868975,2800,5,0,1,0,0
6.33E-05,59,22,0,0.011276269,1950,7,0,0,0,0
0.633348478,40,10,0,0.027281817,7000,1,1,0,0,6
0.047013522,38,8,0,0.296983759,1723,3,0,0,0,0
0.501999771,39,7,1,0.016109046,8069,3,0,0,0,2
0.259372465,66,21,1,845,1,11,0,2,0,0
0.016475655,57,24,0,0.056230513,9300,12,0,1,0,0
0,51,19,0,0.508271223,5500,5,0,2,0,2
0.880597015,36,9,0,0.189347991,5275,5,0,0,0,0
0.045969354,22,0,0,0.002150538,929,2,0,0,0,0
0.631894724,50,10,0,0.068185094,6936,2,0,0,0,1
0.025914507,63,18,0,0.255613577,3829,5,0,1,0,0
0.185599416,68,32,0,0.480344163,6740,14,0,2,0,1
0.600140822,50,18,0,0.519606312,6400,13,0,1,0,0
0.089823994,54,19,0,0.36051648,2942,11,0,1,0,1
0.324787355,55,16,0,0.47827629,16916,10,0,2,0,3
0,60,20,0,0.010079194,4166,7,0,0,0,0
0.028659203,74,26,0,0.1733619,5600,5,0,1,0,0
0.036474088,66,29,0,0.350664628,8500,10,0,2,0,0
0.9999999,53,17,0,0,2782,0,1,0,0,0
0.720822334,50,12,0,1.773613193,2000,6,0,4,0,3
0.9999999,52,15,1,0.121551985,3298,2,0,0,0,2
0.046858885,69,28,0,0.080772608,3416,3,0,0,0,0
0.339789182,33,7,0,0.613760106,6060,20,0,3,0,3
0.790784296,67,26,4,0.427577063,9050,13,0,2,1,0
0.011993497,54,14,0,0.369208049,5416,7,0,2,0,1
0.032742638,88,38,0,0.012817226,3900,11,0,0,0,0
0.901654245,51,14,1,0.47630709,8166,11,0,4,0,1
0.258006745,69,27,0,0.39707286,22000,21,0,2,0,1
0.9999999,24,1,0,0.301415487,1200,1,0,0,0,0
0.858878623,25,2,3,0.227262954,4650,7,0,0,0,0
0.020885967,68,25,0,0.190064795,12500,7,0,1,0,1
0.220854976,45,14,0,0.278849097,9800,10,0,1,0,3
0.134111103,45,13,1,0.253685027,6444,18,0,1,0,3
0.031018283,59,17,0,0.075092499,23783,16,0,1,0,0
0.031226974,62,24,0,0.729817546,4000,10,0,3,0,0
0.120549026,46,10,1,0.150684932,10365,13,0,1,0,0
0.492126968,41,11,3,0.651134273,4892,7,2,1,1,3
0.233128834,33,7,0,0.43796836,1200,9,0,0,0,1
0.085023713,64,17,0,0.041211102,7133,7,0,0,0,0
0.048046958,42,8,0,0.179800548,10227,7,0,1,0,2
0.086360959,67,27,0,0.312473961,12000,11,0,2,0,2
1.021048939,50,12,4,0.210672211,5771,15,1,0,0,2
0.080614361,40,12,0,0.459586466,3191,13,0,1,0,0
0.597009346,65,26,0,0.294635488,3634,6,0,1,0,0
0.605357857,36,9,0,0.008180331,5500,1,0,0,0,0
0.99787943,43,14,1,0.769390942,1920,6,6,0,2,4
0.9999999,42,12,0,0.030661057,17350,4,0,0,0,0
0.912925756,49,18,0,0.37292548,12291,9,0,1,0,2
0.9999999,28,3,0,0.350399526,3378,2,0,1,0,2
0.890407306,49,13,0,0.321008815,4083,7,0,0,0,0
0.000727185,47,11,0,0.051268067,7333,3,0,0,0,4
0.04502638,60,25,0,0.38804046,10083,14,0,3,0,0
0.04001561,67,31,0,0.162774088,14000,11,0,1,0,1
0.021811057,33,4,1,0.466883279,4000,9,0,1,0,0
0.039137266,51,13,0,0.001950744,4100,3,0,0,0,0
0.192176999,46,18,0,1.205109219,2700,23,0,1,0,4
0.273738277,58,20,0,0.226923971,4300,6,0,0,0,1
0.286403917,57,23,0,0.310501875,11197,8,0,2,0,2
0.021582423,57,16,0,0.565378507,5666,6,0,2,0,0
0.487159966,56,19,0,1034,0,12,0,0,0,2
0,77,25,0,0.519955654,901,6,0,0,0,0
0.433781841,45,9,0,0.359505541,11729,8,0,2,0,3
0.071094445,50,14,0,0.047811913,10122,6,0,0,0,1
0.001874953,74,24,0,0.000536769,3725,3,0,0,0,0
0.547294415,58,19,1,0.663852477,4500,8,0,1,1,0
0.149952223,71,18,0,0.741350446,3583,4,0,2,0,0
0.076452032,37,10,0,0.156102495,5931,7,0,0,0,3
0.014350036,87,40,0,0.001999714,7000,11,0,0,0,0
0.9999999,35,8,0,0.447511411,4600,7,0,2,0,4
0,49,11,0,0.174830641,11513,5,0,1,0,3
0.968196274,71,29,0,0.147694292,3100,4,0,0,0,0
0.478675317,33,6,2,0.26562145,4400,14,0,0,0,0
0.9999999,47,15,0,0.258202568,700,0,0,0,0,0
0.011860293,72,23,0,1.620087336,915,13,0,1,0,0
0.047821719,64,22,0,0.151879509,7900,18,0,0,0,1
0.003895304,64,19,0,0.120104439,4978,7,0,0,0,0
1.319419238,42,8,2,0.021174478,7083,3,1,0,1,3
0.062777235,61,19,0,0.122208643,9000,7,0,1,0,0
0.032399003,85,34,0,0.27977068,6104,5,0,2,0,0
0,39,11,0,1.245651402,2816,10,0,3,0,2
0,51,16,0,0.129800397,8566,5,0,3,0,1
0.236515499,32,4,0,0.222276863,12200,4,0,2,0,0
0.236500995,43,10,0,0.086714093,5200,6,0,0,0,1
0.009563857,56,23,0,0.548245175,10000,9,0,4,0,2
0.900398406,53,11,0,0.11105318,5753,4,1,0,1,0
0.065986498,55,21,0,0.534903763,3480,6,0,1,0,0
0.885219922,68,27,1,0.413322067,7100,14,0,1,0,0
0.032204676,38,9,0,0.353744311,7250,9,0,2,0,0
0.43487535,36,6,1,0.279590288,10543,11,0,1,0,3
0.863246458,50,18,1,0.627011829,10313,20,0,2,1,1
0.224460491,67,27,0,0.72250611,4500,8,0,1,0,0
0.563756881,36,8,0,0.147442789,6510,6,0,0,0,0
0.130475253,53,20,0,0.102669828,9700,4,0,0,0,0
0.380221887,42,8,0,0.166208448,4000,3,0,0,0,0
0.171325093,30,4,0,0.028077754,2314,2,0,0,0,0
0,45,10,2,0.412222888,6675,3,0,1,1,0
0.03465826,61,21,0,0.311281453,6000,11,0,2,0,0
0.134933671,34,9,0,0.355970336,12000,31,0,2,0,0
0.209822085,25,2,1,0.460732984,2100,14,0,0,0,0
0.427838222,72,36,0,0.393524666,9790,15,0,2,0,3
0.009385949,56,22,0,0.266556876,8500,6,0,1,0,0
0.088595101,74,25,0,0.048464491,2083,9,0,0,0,0
0.022541101,49,15,0,0.103632779,3550,17,0,1,0,1
0.031248884,63,25,0,0.435362061,2250,4,0,1,0,0
0,45,11,0,0.324984539,6467,3,0,1,0,2
0.285019015,61,27,0,0.920496324,2175,10,1,3,1,0
0.99080184,32,7,0,0.397709526,1920,8,0,0,0,2
0.032693736,69,22,0,0.180004534,4410,9,0,1,0,0
0.015126906,73,24,0,0.004491018,5343,12,0,0,0,0
0.838232354,38,10,0,0.292541492,5000,11,0,1,0,0
0.441428346,59,15,0,2.049108383,18000,13,0,3,0,0
0.245084558,32,5,0,0.156869505,5800,10,0,0,0,0
0.056096941,28,3,0,0.100542702,3500,7,0,0,0,0
0.981977487,34,6,2,0.162599691,8400,7,0,0,0,0
0,86,28,0,0,3325,1,0,0,0,0
0.557542425,63,17,0,9.421501147,3050,15,0,2,0,0
0.841410915,59,17,0,0.064673157,2875,3,0,0,0,1
0.106381196,54,19,0,0.289948224,5600,11,0,2,0,0
0.348685811,33,8,0,0.320965209,12100,21,0,2,0,0
0.180528368,36,8,0,4444,0,11,0,2,0,2
0.218055377,58,21,2,0.274719205,10861,13,0,4,0,0
0.22332631,55,22,0,0.14998256,8600,7,0,1,0,0
0.280836787,63,18,1,0.576043483,9750,13,0,5,0,1
0.611067492,50,12,0,0.540417024,3500,14,0,2,0,0
0.019628716,78,30,1,0.006665432,5400,7,0,0,0,0
0.9999999,59,12,0,0,2863,1,0,0,0,0
5.88E-05,76,27,0,0.587260783,3500,10,0,2,0,1
0.157746598,73,33,0,0.291765033,7200,25,0,1,0,1
0.247789688,34,7,0,0.346204188,4583,6,0,0,0,0
0.015919887,42,12,1,0.290087644,8100,7,0,1,0,4
0.593406593,43,10,0,1.432893466,3106,6,0,1,0,1
0.017395681,60,16,0,0.367943393,6500,14,0,1,0,0
0.510706246,46,10,0,0.211298117,6000,9,0,2,0,0
0.152212006,39,12,0,0.280950096,8335,13,0,1,0,2
0.162047395,42,14,0,0.431743268,16078,23,0,2,1,4
0.036879973,47,16,0,0.583604476,12600,15,0,2,0,2
0.052571577,69,22,0,0.19160105,8000,6,0,1,0,0
0.034358456,58,18,0,0.934316992,2100,13,0,2,0,0
0.655114962,38,9,0,0.196773461,4400,5,0,1,0,1
0.195446743,55,16,1,0.318605594,4933,11,0,1,0,0
0.021497313,26,2,0,0.01032989,3000,6,0,0,0,0
0,44,9,0,0.198075835,5300,6,0,1,0,0
0.123478433,50,10,0,0.293437606,8822,6,0,1,0,2
0.9999999,30,6,0,0.286951814,5540,5,0,1,0,2
0.00029824,51,10,0,0,5416,3,0,0,0,0
0.000490186,73,23,0,0.100424589,10833,6,0,1,0,0
0.052131596,45,10,0,0.040941658,1953,2,0,0,0,0
0.02346819,69,29,0,0.221779971,6280,3,0,1,0,0
0.278387774,36,9,0,0.121632749,8500,16,0,0,0,1
0.543013445,72,20,0,0.461786138,5900,10,0,2,0,1
0.832899623,57,15,0,0.190582459,4480,3,0,0,0,1
0.076398868,57,22,0,8.72027972,1000,7,0,2,0,5
0.377534385,69,18,0,0.447167222,5100,9,0,1,0,1
0.372012169,24,1,0,0.225484072,1600,2,0,0,0,0
0.730437722,39,9,0,0.672426206,4166,15,0,1,0,0
0.772674985,42,11,0,0.13048322,7180,5,0,0,0,3
0.002005958,87,26,0,0.095401314,3500,5,0,1,0,0
0.431334819,58,23,1,0.191543298,9861,17,0,0,0,0
0.361279202,64,27,0,0.473728994,4700,23,0,0,0,0
0.052989402,66,15,1,0.167277574,3000,2,0,0,0,0
0.012267915,48,14,0,0.075825435,9600,17,0,0,0,3
0.085212345,79,23,0,0.136454535,8500,9,0,1,0,0
0.207743381,32,6,0,0.643382353,2175,11,1,0,0,0
0.261082309,49,13,1,0.377860356,5112,8,0,1,0,0
0.028442878,46,12,0,0.301695135,15455,20,0,2,0,0
0.107777306,34,6,0,0.075018917,9250,16,0,0,0,0
0.483109705,43,11,1,0.563657748,3400,8,0,1,0,0
0,39,8,1,0.303853211,2724,3,0,1,0,1
0,61,15,0,0.379524095,5000,6,0,3,0,1
0.9999999,22,0,98,0,3000,0,98,0,98,0
0.289537184,43,11,0,1.2341962,9000,5,0,3,0,3
0.78369702,41,12,0,1.08132249,7500,12,0,3,0,0
0.214744604,68,23,0,0.32803586,2453,5,0,0,0,0
0.274553235,32,7,0,0.894736842,1500,11,0,1,0,0
0.94308422,66,26,0,0.217934698,6400,11,1,0,0,0
0.092930236,62,16,0,0.020257025,4590,4,0,0,0,0
0.01139886,33,8,0,0.56781073,3000,8,0,2,0,0
0.038648347,37,6,0,0.302984851,6666,7,0,1,2,1
0.155330868,82,25,1,0.02975048,10419,3,0,0,0,0
0.636675236,55,18,1,0.118173679,3350,4,0,0,0,0
0.072262581,39,10,0,1.693316677,1600,4,0,1,0,0
0.038852703,48,14,0,0.396735061,6676,5,0,2,0,0
0,77,30,0,0.101336649,9650,4,0,1,0,0
0.84952394,47,18,0,0.99520096,5000,11,0,2,0,0
0.026087795,64,18,0,0.295170483,10000,8,0,1,0,1
0.157204581,69,22,0,0.211889738,3010,7,0,1,0,0
0.9999999,41,11,0,0.108439415,2120,1,0,0,0,2
0.684342681,64,28,0,0.395518588,5890,11,0,1,0,0
0.529235382,23,1,0,0.037758831,820,2,0,0,0,0
1.049576784,51,17,0,0.118797215,6750,6,1,0,0,1
0.019438889,73,23,0,0.077517803,4914,8,0,1,0,0
1.186046512,48,15,1,0.36416185,3459,5,1,1,2,0
1.002499792,40,8,0,0.550947867,3375,2,0,1,0,2
0.934642305,32,6,0,0.189317557,12000,8,0,0,0,0
0.395064197,55,16,0,0.254753554,5416,6,0,2,0,0
0,71,24,0,0.19772453,5800,9,0,2,0,0
0.092960094,48,12,0,0.622199933,2990,5,0,1,0,2
0.170659974,55,20,0,0.416482476,3166,20,0,1,0,0
0.088956374,74,30,0,0.709658068,5000,10,0,2,0,0
0.048695452,51,19,0,1070,0,7,0,2,0,1
0.664395036,69,34,0,0.931121315,6750,30,0,1,0,0
0.022869907,33,5,0,2.021978022,1000,13,0,1,0,0
0.26234753,80,25,0,0.019480519,2001,2,0,0,0,0
0.459081836,34,6,1,1.504479669,1450,3,0,1,0,0
0.9999999,52,12,0,0.244423935,6500,4,0,0,0,2
0.9999999,48,15,0,2945,0,3,0,2,0,2
0,25,2,0,1598,0,3,0,1,0,0
0.154830008,53,19,0,0.433607118,11687,8,0,2,0,3
0.330794829,72,24,3,0.468437589,3500,11,0,1,0,0
0.019940999,84,40,0,0.005142123,7000,7,0,0,0,0
0.650523509,34,6,0,0.403609516,7313,9,0,1,0,0
0.277297152,51,21,0,0.144908215,9750,16,0,0,0,0
0.327415392,48,18,1,0.070883081,9296,12,0,0,0,0
0.292693623,43,14,0,0.705113418,2600,11,0,2,0,1
0.123216651,53,16,0,0.22962963,4049,5,0,1,0,2
0.117249526,53,16,0,0.416347044,7560,12,0,3,0,3
0.187201969,34,6,0,0.615840349,3206,3,0,1,0,2
0.282290743,34,7,1,12.97029703,100,10,1,0,1,3
0.035579922,63,21,0,0.187705943,8800,10,0,1,0,1
0,57,18,0,0.011408513,2278,2,0,0,0,0
0.366372722,29,4,1,0.459336665,2200,8,0,1,0,0
0,63,18,0,0.682317682,1000,6,0,1,0,0
0.528656387,55,11,1,0.163030999,4354,3,0,0,0,1
0.003180329,68,20,1,0.003160872,6010,12,0,0,0,0
0.021304927,75,28,0,0.322231909,5734,8,0,1,0,0
0.000145117,77,33,0,0.162213411,5800,11,0,0,0,0
0,52,16,0,0.411230709,7710,6,0,1,0,0
0.9999999,61,23,0,0,7008,1,0,0,0,1
0.53506482,40,10,0,0.12708287,4500,6,2,0,0,0
0.9999999,31,5,0,0.190945764,2230,6,3,0,0,0
0.714596129,59,21,0,0.291694441,7500,11,0,1,0,0
1.630884228,64,16,0,0.200936434,12600,4,0,0,2,0
0.521947805,46,10,0,2.014985015,1000,10,0,3,0,2
0.110858398,45,14,0,0.010242653,8200,3,0,0,0,0
0,23,1,0,0,898,2,0,0,0,0
0.9999999,51,18,0,0.544742543,6000,5,0,3,0,2
0.124385561,83,33,0,0.068322243,8415,16,0,0,0,1
0.239500247,62,25,0,0.887358365,4500,10,0,1,0,0
0.030020542,71,20,1,0.245368584,10363,13,0,2,0,0
0.302939412,55,16,0,0.232791728,3384,7,0,2,0,0
0.098725319,36,9,0,0.346710219,15000,8,0,2,0,0
0.235761754,31,6,0,0.104391649,4166,10,0,0,0,0
0.729005314,43,13,0,0.349930362,8615,9,0,1,0,0
0.193404734,49,12,0,1.088455772,2000,16,0,2,0,4
0.069152367,41,11,0,0.046878471,4500,1,3,0,1,1
0.114213146,47,10,0,0.035744252,5958,9,0,0,0,0
0.000201338,66,19,0,0.206873941,18300,8,0,2,0,1
0.033049802,76,20,0,0.128418289,4570,5,0,0,0,0
0.677099237,42,12,0,0.561429941,7300,6,0,1,0,7
0,68,27,1,0.212594541,6081,9,0,1,0,2
0.325667015,40,9,0,0.268419104,2700,6,0,0,0,0
0,64,26,0,0.305484994,10628,11,1,4,2,1
0.072056517,77,36,0,0.014379583,10500,8,0,0,0,0
0.56426003,52,14,0,0.47449372,3900,7,0,1,0,1
0.011859913,39,9,0,0.001908033,5240,6,0,0,0,0
0.257194485,70,20,0,0.380016722,2391,14,0,0,0,0
0,36,6,0,0,7000,3,0,0,0,0
0.08095276,69,24,0,0.058746736,1531,3,0,0,0,0
0.028024855,43,13,0,0.043224119,6500,7,0,0,1,0
0.22874032,90,37,0,0.428152493,7501,15,0,1,0,1
0.457205194,64,20,0,0.376335653,10200,10,0,2,0,0
0.330830497,54,16,0,0.215154504,6083,8,0,1,0,1
0.012090135,56,19,0,0.119969223,16895,21,0,2,0,0
0.154055177,63,28,0,0.067380885,3546,12,0,0,0,1
0.980044346,52,18,0,0.074962519,2000,8,0,0,0,0
0.607848093,55,18,0,0.38226344,6900,9,0,2,0,0
0.103863205,46,15,0,0.252604989,9500,4,0,1,0,0
0.510539113,45,14,0,0.337766223,10000,12,0,2,0,0
0.083983395,47,13,0,0.260068099,8516,16,0,1,0,2
0.247571261,68,22,0,0.657068063,4583,19,0,2,0,0
0.045415596,27,3,1,0.152487961,3114,3,0,0,0,0
0.971176365,40,12,0,0.496345726,3146,7,0,0,1,2
0.03696882,52,15,0,0.61135499,3416,5,0,3,0,0
0.102574199,36,8,0,0.463620981,6500,19,0,2,0,3
0.013523552,59,24,0,0.459890298,5833,14,0,1,0,0
0.067997733,41,8,0,1.864050142,6700,6,0,1,0,2
0.580528314,73,35,0,0.39277732,8500,13,0,2,0,0
0.415169661,29,5,1,0.587941268,3200,4,0,1,0,0
0.255402858,42,11,0,0.058321183,4800,5,0,0,0,0
0.010911116,53,13,0,0.157284272,10000,11,0,2,0,0
0.147083779,62,20,0,0.511859382,4721,16,0,1,0,0
0.9999999,21,0,98,0,1,0,98,0,98,0
0.036515982,77,32,0,0.184963007,5000,12,0,0,0,0
0.032581344,38,10,0,0.146437689,8617,9,0,1,0,2
0.405001845,68,28,0,0.278168528,7250,11,0,2,0,0
0.101787331,56,13,0,0.439657224,4200,7,0,1,0,3
0.959008198,31,5,3,0.386005256,3043,5,2,0,2,1
0.000290689,76,20,0,0,4672,5,0,0,0,0
0.03224417,28,4,0,0.189450095,5800,9,1,0,0,0
0.9999999,50,13,0,0.282381693,4500,6,0,1,0,1
0.071665529,62,29,0,0.504957892,14723,17,0,2,0,1
0.028779216,33,4,0,0.094581084,5000,4,0,0,0,0
0.029676085,43,12,0,0.109839394,10833,5,0,1,0,2
0.073851077,63,17,0,0.18260681,4610,7,0,1,0,0
0.057404686,39,8,0,0.031036297,1900,7,0,0,0,1
0.211155491,29,5,0,0.098509774,5166,5,0,0,0,0
0.498082827,40,12,0,0.273050433,4500,14,0,0,0,2
0,39,7,0,0.337132573,5000,6,0,1,0,2
0.09928712,48,13,0,1.11087113,8333,9,0,4,0,4
0.037393558,38,10,0,0.497366111,4555,7,0,2,0,3
0.355844908,40,11,0,0.543512798,5664,21,0,2,0,0
0.749633482,63,19,0,0.607170573,6442,10,0,2,0,1
0.024256473,67,32,0,0.560859785,4000,24,0,2,0,1
0.665878931,26,3,3,0.365756163,1500,4,0,0,0,0
0.01595791,60,18,0,0.330601093,5855,7,0,1,0,1
0,83,29,0,0,1700,1,0,0,0,0
0.051958407,62,15,0,0.879274825,2426,10,0,2,0,1
0.041059934,44,11,0,0.351559822,5833,6,0,2,0,2
0.053012671,27,4,0,0.173728284,8000,12,0,2,0,0
0.863791412,55,18,1,0.227971504,8000,12,0,1,0,1
0.4412358,66,20,2,0.400163934,6099,14,1,1,0,0
0.926073926,26,2,0,0.175412294,2000,2,0,0,0,0
0.952009598,59,21,0,0.060722044,9666,8,0,0,0,0
0.254459742,57,24,0,0.635591863,6242,18,0,2,0,0
0.289925652,28,3,0,0.469020653,1500,14,0,0,0,0
0.898447668,57,14,0,0.46695994,10683,8,0,2,0,2
0.886327755,35,5,4,0.73470204,7500,7,0,3,1,1
0.293667237,43,9,0,0.406391545,3973,9,1,2,0,4
0.9999999,34,8,0,0.336368506,5600,11,0,2,0,4
0.247064094,43,11,0,0.246669729,6530,10,1,1,0,1
0.333678816,46,16,1,0.286471353,10000,15,0,1,1,2
0.634262004,58,23,0,0.691231077,3500,11,0,3,0,0
0.566516672,40,11,0,0.403322566,6500,9,0,2,0,5
0,32,5,1,0.159100375,2400,4,0,0,0,0
0.02077455,72,23,0,0.009437068,9112,11,0,0,0,0
0.911244424,53,17,0,0.020149423,8833,1,0,0,1,1
0.027023375,77,32,0,0.203466667,3749,6,0,0,0,0
0,36,8,0,0.190326749,5416,6,0,1,0,0
0.051665321,67,28,0,0.225683628,8666,12,0,2,0,1
0.104593725,50,19,0,0.305234738,6666,11,0,2,0,0
0.036870291,41,8,0,0.446123084,4500,10,0,1,0,4
0.385303157,53,14,0,0.358474478,25800,15,0,6,0,3
0.05117787,59,22,0,0.015996445,4500,2,0,0,0,0
0.01726745,57,12,1,0.002568631,6228,4,0,0,0,0
0.052815188,75,31,0,0.488734835,7500,14,0,2,0,0
0.028791326,67,18,0,0.004558479,7677,9,0,0,0,0
0.9999999,40,9,0,0.012762078,2193,0,0,0,0,0
0.028394632,75,25,0,0.013092476,6033,6,0,0,0,0
0.008650266,29,3,0,0.091737724,3400,9,0,0,0,0
0,62,26,0,0.580013504,10366,12,0,2,0,0
0.9999999,55,14,0,0.26369863,1167,1,0,0,1,0
0.01118277,64,21,0,0.264716772,2700,4,0,1,0,0
0.059331685,59,21,0,0.354663619,7000,8,0,2,0,0
0.442827019,48,16,0,0.164921466,4583,3,1,0,0,3
0.077509324,62,22,0,0.327003798,5002,11,0,1,0,0
0.05195228,57,21,0,0.195710456,6340,11,0,1,0,2
0.019793535,57,13,0,0.688120215,10580,9,0,3,0,0
0.001452113,65,22,0,0.430161731,4760,11,0,1,0,1
0.004600127,84,29,0,0.143170927,5007,16,0,1,0,0
0,81,33,0,0,5070,5,0,0,0,0
0.9999999,53,20,1,0.314188034,5849,6,2,1,0,0
0.003754254,47,15,0,1.20537428,3125,5,0,1,0,2
0.353162293,33,4,0,0.342762063,8413,10,0,1,0,1
0.106680325,64,15,0,0.097741827,8900,4,0,1,0,0
0.2010853,47,10,1,0.145668347,4166,6,0,0,0,1
0.148393405,55,12,0,0.277337559,8833,6,0,2,0,0
0.072353948,47,11,0,0.185687491,6930,11,0,1,1,2
0.0078601,67,18,0,0.507893906,6333,9,0,1,0,0
0.128554733,50,13,1,0.284313725,1733,5,0,0,0,0
0.229954009,32,6,0,0.465932273,2450,3,0,1,0,0
0.027162711,60,23,0,0.314163198,7928,12,0,1,0,0
0.770290242,55,14,0,0.27205333,17400,9,0,2,0,3
0.163922956,74,20,0,0.231321839,6263,8,1,1,0,0
0.001249988,70,30,0,0.11993143,15166,11,0,1,0,0
0.005450791,50,17,0,0.818969668,8307,21,0,3,0,0
0.504260721,46,14,0,0.474210443,6300,5,0,1,0,1
0.485834684,61,20,1,0.435128519,4901,7,0,0,1,2
0.151609643,58,16,0,665,0,8,0,1,0,0
0.097626494,46,14,0,0.211174242,3167,13,0,1,0,0
0.002938581,64,32,0,0.293965614,8898,45,0,2,0,1
0.062993164,41,10,0,0.076592341,10000,4,0,0,0,2
1.21677074,48,12,2,0.469416452,4266,3,0,1,1,2
1.598346472,35,8,0,0.232411267,7916,8,0,1,0,2
0.996251172,30,4,1,1.84803377,4500,5,0,1,1,2
0.892230194,31,4,0,0.305847076,2000,3,0,0,0,0
0.017038491,72,27,0,0.110315186,8375,14,0,1,0,0
0.408671274,42,9,0,0.091454473,7500,3,0,0,0,2
0.497845131,34,7,0,0.957928803,2471,6,0,2,0,0
0.093886803,50,15,0,0.074115736,8000,4,0,0,0,2
0.089763448,53,23,1,0.416606671,4166,22,0,2,0,0
0.431415326,53,12,0,0.217465356,12916,5,0,2,0,2
0.00349975,47,16,0,0.287344575,5870,7,0,2,0,1
0.733149559,36,6,0,957,0,10,0,0,0,2
0.144585541,46,14,0,0.006230981,6900,2,0,0,0,2
0.07451772,58,16,1,0.893612115,13008,13,0,4,1,0
0,77,29,0,0,5701,10,0,0,0,0
0.389482982,80,33,1,0.910617284,2024,6,0,1,0,0
1.179671294,56,13,0,0.40822349,5082,7,0,1,1,0
0.9999999,66,29,0,0.357440427,6000,8,0,1,0,0
0.9999999,24,1,0,0.033847472,2333,2,1,0,0,1
0.619091913,41,10,0,0.375899897,5833,7,0,2,0,0
0.9999999,52,11,0,0.477247503,900,1,1,0,0,0
0.9999999,40,8,0,0.643634225,3400,4,0,1,0,1
0.06220277,37,8,1,0.261956341,6000,7,0,1,0,0
0.504380762,29,4,0,0.26271716,8000,12,0,0,0,0
0,50,18,0,0.31856048,3000,13,0,1,0,0
0.018353784,44,10,0,0.114814198,6000,3,0,1,0,2
0.018101908,54,21,0,0.022072937,2083,10,0,0,0,0
0.093808275,76,19,0,0.02549745,10000,4,0,0,0,0
0.012165991,34,6,0,0.081317204,4463,6,0,0,0,0
1.091816367,37,10,0,0.07960199,200,1,0,0,0,0
0.026908503,49,13,0,0.121587841,10000,19,0,0,0,5
0.086439642,63,16,0,0.177664975,4530,4,0,1,0,1
0.657332631,33,6,0,5.162364696,1200,14,0,3,0,1
0,26,3,0,0.081226766,5379,6,0,0,0,0
0.255722592,79,33,0,0.231270358,3990,17,0,0,0,1
1.617940199,53,11,1,0.047390522,1666,1,0,0,1,0
0.469397708,36,7,0,0.429202511,4300,10,0,2,0,2
0.019899005,70,18,0,0.618800888,1350,6,0,1,0,0
0.06854417,46,17,0,0.596080784,5000,12,0,2,0,3
0.036617516,81,22,0,0.019993336,3000,4,0,0,0,0
0.988833706,52,16,5,0.492979863,10825,13,0,2,0,1
0.02071262,63,25,0,0.005379014,12083,8,0,0,0,1
0.034283152,54,15,0,0.34694159,14500,14,0,4,0,3
0,45,15,1,0.297473945,5660,11,0,1,0,2
0.040531447,64,20,0,0.524875622,6833,12,0,1,0,0
0.054411402,44,14,0,0.289571202,17000,8,0,2,0,3
0.76479299,78,24,0,1.342442926,6000,11,0,2,0,1
0.009090673,67,30,0,0.184083735,6018,9,0,1,0,2
0.019295582,63,14,0,0.003740648,4009,1,0,0,0,0
0,56,13,0,0.268365817,2000,5,0,0,0,1
0.090121232,70,29,0,0.161691915,6666,5,0,1,0,2
