Cust_No,Gender,Title,City,County,Country,Occupation,Manufacture,OS,Tarriff,Tarriff_Type,Payment_Method,Contract_Length,AVG_of_Bill_Amount,AVG_of_OOB_Total_Charge,AVG_of_OOB_Amount_to_Total_Amoun,AVG_of_Voice_Usage,AVG_of_SMS_Usage,AVG_of_Data_Usage,Age,Churn_Fl
1000347,male,Mr.,Maud,Aberdeenshire,Scotland,Psychiatric technician,Apple,iOS,Red,Post-Pay,DD,24,37.905,2.90502358,0.076423828,86.2339,125.367,811.3855,56,1
1000348,female,Ms.,Eaglescliffe,County Durham,England,Family therapist,ZTE,Android OS,Red,Post-Pay,CC,24,35.184,0.183308015,0.00516463,75.1716,79.9154,456.1228,38,0
1000349,male,Mr.,Newton Aycliffe,County Durham,England,Sawing machine operator,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,73.619,8.619219552,0.115231536,496.958,722.986,6485.74,30,0
1000351,male,Mr.,Porthleven,Cornwall,England,Health information manager,Samsung,Android OS,Red Premium,Post-Pay,DD,18,48.207,3.206724978,0.066288393,162.94,249.601,1713.669,24,0
1000352,female,Mrs.,Princes Risborough,Buckinghamshire,England,Surgical technician,Motorola,Android OS,Red Super,Post-Pay,CC,24,76.894,1.894222248,0.023616381,622.372,902.912,4391.429,27,0
1000353,female,Ms.,Holywood,County Down,Northern Ireland,Chemical engineering technician,Nokia,Symbian OS ,Red Premium,Post-Pay,DD,18,46.406,1.40573603,0.030097088,222.721,288.322,1058.593,22,0
1000354,male,Mr.,Downpatrick,County Down,Northern Ireland,HVACR technician,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,59.551,9.550567525,0.158957466,327.012,480.36,4645.798,39,0
1000355,male,Mr.,Merville Garden Village,County Antrim,Northern Ireland,Subway operator,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,75.435,10.43419225,0.1355772,479.074,711.507,6816.903,51,0
1000356,male,Mr.,Holywood,County Down,England,Massage therapist,Apple,iOS,Red Super  Premium,Post-Pay,DD,18,105.41,5.408650541,0.047257741,597.619,831.773,6767.068,42,0
1000358,male,Mr.,Maryport,Cumbria,Scotland,Radio announcer,LG,Proprietary,Red Essentials Premium,Post-Pay,DD,18,81.395,16.39413926,0.200135591,477.676,789.05,6609.9,39,1
1000359,female,Ms.,March,Cambridgeshire,England,Financial aid director,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,57.863,7.862909643,0.134451739,439.763,480.053,4046.625,29,0
1000360,male,Dr.,Stotfold,Bedfordshire,Northern Ireland,Signal and track switch repairer,Nokia,Symbian OS ,Red,Post-Pay,DD,24,35.193,0.193512555,0.005389894,66.0345,116.101,501.9084,48,0
1000362,male,Dr.,Banbridge,County Down,Northern Ireland,Endodontist,HTC,Android OS,Red Essentials,Post-Pay,DD,24,56.999,6.998909212,0.121598974,310.299,504.714,4134.607,42,0
1000365,male,Mr.,Newlyn,Cornwall,England,Anesthesiologist,Google,Android OS,Red Essentials,Post-Pay,DD,24,56.973,6.972720518,0.120903022,319.771,496.26,4170.473,39,0
1000366,male,Mr.,Coalisland,County Tyrone,Northern Ireland,Extruding and drawing machine operators,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,59.473,9.473389067,0.157630624,314.15,475.923,4667.679,32,0
1000367,female,Dr.,Banbridge,County Down,Northern Ireland,Scrub,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.809,5.809119329,0.080644237,665.417,852.827,5389.461,24,0
1000368,male,Mr.,Banbridge,County Down,Northern Ireland,Property manager,Samsung,Android OS,Red Essentials,Post-Pay,CC,24,55.772,5.772482281,0.099578888,215.622,401.779,3095.079,38,0
1000369,male,Mr.,Portadown,County Armagh,Northern Ireland,Registered nurse,Google,Android OS,Red,Post-Pay,DD,24,36.053,1.051780585,0.029085537,79.9506,118.144,692.0137,44,0
1000370,male,Mr.,Consett,County Durham,England,Career-technology teacher,HTC,Android OS,Red Essentials,Post-Pay,DD,24,55.892,5.892346846,0.104640509,319.805,476.731,4134.319,56,0
1000371,female,Ms.,Greenisland,County Antrim,Northern Ireland,Nursery worker,HTC,Android OS,Red Premium,Post-Pay,CC,18,46.528,1.527838209,0.032415598,224.65,246.843,1093.59,37,0
1000372,male,Mr.,Aylesbury,Buckinghamshire,England,Soldering worker,Apple,iOS,Red,Post-Pay,DD,24,35.861,0.861505862,0.023579582,56.9334,81.8866,570.6141,41,0
1000373,male,Mr.,Maryport,Cumbria,England,Highway patrol officer,Nokia,Proprietary,Red Essentials,Post-Pay,CC,24,56.348,6.347537099,0.111097193,322.697,587.523,4035.76,20,0
1000374,male,Mr.,Marazion,Cornwall,England,Employment recruiter,ZTE,Android OS,Red Essentials,Post-Pay,DD,24,56.303,6.303417322,0.11091405,315.809,488.059,4261.38,44,0
1000376,female,Ms.,Holywood,County Down,England,Tow truck dispatcher,Nokia,Proprietary,Red,Post-Pay,DD,24,35.135,0.134307355,0.003778331,92.4868,106.803,385.7085,29,0
1000377,male,Mr.,March,Cambridgeshire,England,Mediator,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,76.418,11.41644282,0.147796684,489.996,899.539,6739.484,36,0
1000378,male,Mr.,Auchtermuchty,Fife,Scotland,Patient representative,Apple,iOS,Red Essentials Premium,Post-Pay,CC,18,91.598,26.59544142,0.287102203,509.679,742.913,7461.357,41,1
1000379,female,Ms.,Stotfold,Bedfordshire,Northern Ireland,Ambulance driver,HTC,Android OS,Red Premium,Post-Pay,DD,18,46.938,1.937170696,0.040957219,219.275,241.199,1112.345,32,0
1000380,male,Mr.,Glenrothes,Fife,England,Labor economist,ZTE,Android OS,Red Essentials Premium,Post-Pay,DD,18,70.159,5.159304907,0.068960324,314.843,458.078,5571.652,53,0
1000381,male,Dr.,March,Cambridgeshire,England,Electronic typesetting machine operator,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,78.747,13.74674469,0.172564766,479.188,731.39,7979.372,28,0
1000382,female,Ms.,Portadown,County Armagh,Northern Ireland,Training development director,Motorola,Android OS,Red,Post-Pay,DD,24,35.696,0.695749052,0.019399981,109.925,143.648,552.8555,59,0
1000384,male,Mr.,Banbridge,County Down,Northern Ireland,Job service specialist,Motorola,Android OS,Red Premium,Post-Pay,DD,18,45.824,0.823801452,0.017500842,101.442,206.005,849.7225,54,0
1000385,male,Mr.,Maryport,Cumbria,England,Recreation leader,Motorola,Android OS,Red Essentials,Post-Pay,DD,24,55.813,5.812860133,0.103495187,328.545,571.831,4347.444,23,0
1000386,male,Mr.,Newbury,Berkshire,England,Wholesale buyer,Apple,iOS,Red Super,Post-Pay,DD,24,92.059,17.05989067,0.183086846,629.435,984.233,9261.599,36,0
1000391,male,Mr.,Egremont,Cumbria,England,Patternmaker,Samsung,Proprietary,Red Essentials Premium,Post-Pay,CC,18,83.174,18.17534144,0.21761501,478.046,718.628,7700.999,22,0
1000392,male,Mr.,St Just,Cornwall,England,Finance manager,Nokia,Symbian OS ,Red Essentials Premium,Post-Pay,DD,18,68.603,3.602029118,0.047270558,365.764,662.228,5609.592,43,0
1000394,male,Mr.,Stanley,County Durham,England,Prosthodontist,Apple,iOS,Red Super  Premium,Post-Pay,DD,18,123.37,23.368977,0.18777534,772.565,1221.03,11406.88,55,0
1000395,male,Mr.,March,Cambridgeshire,England,Park naturalist,Apple,iOS,Red Essentials,Post-Pay,DD,24,59.055,9.055333904,0.152273922,325.147,486.622,4835.636,29,0
1000396,male,Mr.,Carlisle,Cumbria,England,Secondary school teacher,Motorola,Android OS,Red Super,Post-Pay,DD,24,79.978,4.978591862,0.057252795,468.626,916.479,5774.467,19,0
1000397,male,Mr.,Marazion,Cornwall,England,Assistant property manager,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,81.408,16.40827799,0.199083124,485.391,702.727,7728.175,30,0
1000398,male,Mr.,Padstow,Cornwall,England,Arborist,Apple,iOS,Red Premium,Post-Pay,DD,18,47.865,2.865178362,0.0595931,160.71,238.95,1638.515,44,0
1000399,male,Mr.,Consett,County Durham,England,Gerontology social worker,Samsung,Proprietary,Red Premium,Post-Pay,DD,18,48.195,3.193194507,0.065994588,161.936,249.115,1683.202,49,0
1000400,male,Mr.,Harrington,Cumbria,England,English to speakers of other languages teacher,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,72.272,7.271278589,0.0926395,352.392,542.155,6566.118,23,0
1000401,male,Mr.,Princes Risborough,Buckinghamshire,England,Dispatcher,Nokia,Symbian OS ,Red Essentials Premium,Post-Pay,DD,18,74.3,9.299976561,0.123472843,480.365,888.225,6605.955,25,0
1000402,female,Ms.,Nantwich,Cheshire,England,Dispensing optician,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,71.44,6.438999392,0.088665724,683.768,741.016,5502.676,50,0
1000403,female,Mrs.,Newbury,Berkshire,England,Electrical engineer,Nokia,Proprietary,Red Super,Post-Pay,DD,24,83.99,8.989490727,0.10356201,872.609,1148.57,6593.622,27,0
1000404,male,Mr.,Truro,Cornwall,England,Groundskeeper,Nokia,Proprietary,Red,Post-Pay,DD,24,35.222,0.22064546,0.006110884,63.1216,114.455,528.3083,19,0
1000405,male,Mr.,Runcorn,Cheshire,England,Watch repairer,Motorola,Android OS,Red Essentials,Post-Pay,DD,24,56.074,6.073282227,0.106675819,329.85,617.961,4010.809,39,0
1000406,male,Mr.,Newbury,Berkshire,England,Public safety dispatcher,Samsung,Proprietary,Red,Post-Pay,DD,24,36.333,1.331956089,0.036562766,80.3569,122.599,832.3994,25,0
1000407,male,Mr.,Downpatrick,County Down,Northern Ireland,Industrial therapist,HTC,Android OS,Red Essentials,Post-Pay,DD,24,56.943,6.942103492,0.121041805,316.413,498.654,3899.235,19,0
1000409,male,Mr.,Stanley,County Durham,England,Industrial economist,ZTE,Android OS,Red Essentials Premium,Post-Pay,DD,18,76.025,11.02630048,0.143815472,474.016,716.732,7029.044,36,0
1000410,female,Mrs.,Stanley,County Durham,England,EKG technician,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,76.247,11.24774071,0.145370814,670.188,727.69,6555.004,33,0
1000411,male,Mr.,Maryport,Cumbria,England,Mixing and blending machine operator,Nokia,Microsoft,Red Premium,Post-Pay,DD,18,47.148,2.146282555,0.045346666,161.064,297.129,1289.165,18,0
1000412,male,Mr.,Saltash,Cornwall,England,Law clerk,Nokia,Proprietary,Red,Post-Pay,DD,24,35.373,0.373198852,0.010376198,63.5085,105.408,517.3981,44,0
1000413,female,Ms.,March,Cambridgeshire,England,Bookmobile driver,HTC,Android OS,Red Premium,Post-Pay,CC,18,46.632,1.632806045,0.034315226,222.929,246.592,1125.49,32,0
1000414,male,Mr.,Portree,Highlands,Scotland,Camp counselor,Nokia,Proprietary,Red Premium,Post-Pay,DD,18,46.958,1.958548643,0.041528102,162.338,290.175,1348.158,27,0
1000415,male,Mr.,Arbroath,Angus,Scotland,Spray machine operator,Nokia,Proprietary,Red,Post-Pay,CC,24,35.89,0.890926709,0.024744375,78.3657,149.239,673.0202,19,0
1000416,male,Mr.,Wick,Highlands,Scotland,Painting coating and decorating worker,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,69.81,4.809278743,0.062331495,374.811,538.823,4653.712,24,1
1000417,male,Mr.,Stotfold,Bedfordshire,England,EEO officer,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,77.142,12.14148319,0.155312405,473.591,720.718,7073.689,33,0
1000418,female,Ms.,Chatteris,Cambridgeshire,England,Highway patrol officer,Nokia,MeeGo OS,Red Essentials Premium,Post-Pay,DD,18,72.447,7.445529461,0.101371756,653.423,858.472,5394.265,28,0
1000421,male,Mr.,Dingwall,Highlands,Scotland,Lead abatement worker,Motorola,Android OS,Red Essentials Premium,Post-Pay,CC,18,74.423,9.424061344,0.124820941,488.495,899.417,6865.554,74,0
1000424,female,Mrs.,Wixams,Bedfordshire,England,Packer,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.003,5.003745279,0.067268604,472.923,500.468,5324.639,28,0
1000425,female,Mrs.,Portlethen,Aberdeenshire,Scotland,Control room assistant,Nokia,Proprietary,Red,Post-Pay,DD,24,35.937,0.936153567,0.025899825,111.12,147.525,526.6962,35,0
1000427,male,Mr.,Pitcoudie,Fife,Scotland,Broker,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,88.585,23.58387775,0.26615373,483.178,761.08,6996.946,44,1
1000428,female,Ms.,Tayport,Fife,Scotland,Mine examiner,Nokia,Proprietary,Red,Post-Pay,CC,24,35.206,0.208025701,0.005870529,85.3058,113.059,455.4254,33,0
1000429,male,Mr.,Downpatrick,County Down,Northern Ireland,Blockmason,Nokia,Symbian OS ,Red Essentials Premium,Post-Pay,DD,18,76.35,11.34960367,0.146472597,474.756,909.469,6883.981,42,0
1000430,male,Mr.,Callington,Cornwall,England,Secretarial assistant,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,72.898,7.897043775,0.10692306,487.293,847.218,6684.597,24,0
1000431,male,Mr.,Broughton in Furness,Cumbria,England,Proofreader,Nokia,Symbian OS ,Red,Post-Pay,DD,24,36.232,1.232994988,0.033996041,78.5608,143.969,699.7964,58,0
1000432,female,Ms.,Fort William,Highlands,Scotland,Excavating and loading machine and dragline operator,HTC,Android OS,Red,Post-Pay,DD,24,35.304,0.303845499,0.008468058,97.5901,89.0023,368.2428,19,0
1000433,female,Ms.,Ladybank,Fife,Scotland,Television announcer,Samsung,Proprietary,Red,Post-Pay,DD,24,36.243,1.243207167,0.034156073,107.254,120.702,627.6522,34,0
1000434,male,Mr.,Newcastle,County Down,Northern Ireland,Obstetric sonographer,Motorola,Android OS,Red,Post-Pay,DD,24,35.904,0.903963376,0.025062441,77.2675,142.829,681.4153,33,0
1000435,male,Mr.,Boddam,Aberdeenshire,Scotland,Molder,Motorola,Android OS,Red Essentials Premium,Post-Pay,DD,18,76.166,11.164991,0.145612136,468.485,868.379,6675.271,20,0
1000436,female,Mrs.,Banff and Macduff,Aberdeenshire,Scotland,Human resources analyst,Motorola,Android OS,Red Super,Post-Pay,CC,24,76.708,1.706180907,0.021458722,558.146,873.122,5107.566,27,0
1000439,female,Mrs.,Chatteris,Cambridgeshire,England,Dental surgeon,Samsung,Android OS,Red Essentials,Post-Pay,CC,24,58.489,8.488909109,0.143271048,448.81,494.284,4264.371,35,0
1000440,female,Ms.,Saltash,Cornwall,England,Cook,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,66.412,1.411771246,0.020558978,449.223,668.752,3708.8,37,0
1000442,male,Mr.,Marazion,Cornwall,England,Farm and home management advisor,LG,Proprietary,Red Essentials,Post-Pay,DD,24,57.078,7.078322463,0.122738565,322.375,481.952,4009.65,19,0
1000444,female,Ms.,Truro,Cornwall,England,Arbitrator,ZTE,Android OS,Red Essentials Premium,Post-Pay,DD,18,66.237,1.23718565,0.016762837,466.611,473.405,4206.046,64,0
1000445,male,Mr.,Bonnybridge,Falkirk,Scotland,Publicity expert,Samsung,Proprietary,Red Essentials,Post-Pay,CC,24,65.116,15.1165397,0.22822723,350.762,494.508,5032.915,47,1
1000446,male,Mr.,Thornhill,Dumfries and Galloway,Scotland,Facilities coordinator,Apple,iOS,Red,Post-Pay,DD,24,38.138,3.137368743,0.082131964,81.866,117.629,798.0925,53,1
1000447,female,Ms.,Larbert,Falkirk,Scotland,Realtor,Samsung,Android OS,Red,Post-Pay,DD,24,36.511,1.511733298,0.041225628,111.157,120.084,695.6513,20,0
1000448,male,Mr.,Holywood,County Down,Northern Ireland,Payroll representative,Apple,iOS,Red Super,Post-Pay,DD,24,81.012,6.01140175,0.067852396,480.137,753.586,6860.55,15,0
1000449,female,Mrs.,Brechin,Angus,Scotland,Camp counselor,Nokia,Symbian OS ,Red Essentials Premium,Post-Pay,DD,18,76.015,11.01310231,0.142482486,673.416,880.826,5216.05,50,1
1000450,male,Mr.,Carlisle,Cumbria,England,Cartographer,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,55.779,5.779661565,0.102338086,317.747,553.399,4370.263,62,0
1000451,male,Mr.,Stanley,County Durham,England,Automotive service technician,Samsung,Android OS,Red Super,Post-Pay,DD,24,90.469,15.46965238,0.169114915,646.679,948.503,9351.296,19,0
1000452,male,Mr.,Methil,Fife,Scotland,Travel clerk,Nokia,Symbian OS ,Red,Post-Pay,CC,24,35.467,0.466328914,0.012943453,61.2633,105.504,524.8743,43,0
1000453,female,Mrs.,St Just,Cornwall,England,Marble setter,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,81.818,16.81960751,0.195443957,663.948,750.697,5432.385,49,1
1000454,male,Mr.,Newbridge Drive,Dumfries and Galloway,Scotland,Closing agent,Motorola,Proprietary,Red Essentials Premium,Post-Pay,DD,18,76.46,11.45938341,0.147638088,473.599,892.484,7089.696,39,0
1000457,male,Mr.,Stotfold,Bedfordshire,England,Highway patrol officer,LG,Proprietary,Red,Post-Pay,CC,24,36.032,1.030808505,0.028498378,81.251,117.868,711.1447,61,0
1000458,female,Ms.,Portlethen,Aberdeenshire,Scotland,Employment specialist,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,76.579,11.57798434,0.149736455,631.433,744.603,6303.918,19,0
1000459,male,Mr.,Runcorn,Cheshire,England,Finance manager,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,74.629,9.627404534,0.127275513,460.688,857.965,6682.235,44,0
1000460,male,Mr.,Wixams,Bedfordshire,England,Copy marker,Samsung,Android OS,Red Premium,Post-Pay,DD,18,46.533,1.533800352,0.032534673,111.111,193.522,1092.429,20,0
1000461,male,Mr.,Airth,Falkirk,Scotland,Foundry mold and coremaker,Nokia,Proprietary,Red Super  Premium,Post-Pay,DD,18,113.22,13.22096044,0.114718782,787.254,1392.47,9588.757,23,0
1000462,male,Mr.,Newburgh,Fife,Scotland,Revenue agent,Google,Android OS,Red Essentials,Post-Pay,DD,24,55.478,5.478248527,0.09775861,324.12,468.922,4186.639,47,0
1000463,male,Mr.,Runcorn,Cheshire,England,Power transformer repairer,Samsung,Proprietary,Red Premium,Post-Pay,CC,18,49.573,4.574388837,0.091761283,162.17,247.705,1688.84,57,1
1000464,female,Mrs.,Newbridge Drive,Dumfries and Galloway,Scotland,Sampler,Nokia,MeeGo OS,Red,Post-Pay,DD,24,36.24,1.243865135,0.034322989,112.489,147.835,199.2073,49,1
1000465,male,Mr.,High Wycombe,Buckinghamshire,England,Heavy vehicle and mobile equipment service technician,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,76.037,11.03679367,0.143285209,502.316,742.639,7286.348,28,0
1000466,female,Ms.,Pittenweem,Fife,Scotland,Land surveyor,Motorola,Proprietary,Red Essentials Premium,Post-Pay,DD,18,71.94,6.940096206,0.094966392,657.384,860.786,5466.015,54,0
1000468,female,Mrs.,Duniplace,Falkirk,Scotland,College faculty,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,70.592,5.593859233,0.075016112,529.156,545.839,3850.707,33,1
1000469,male,Mr.,Princes Risborough,Buckinghamshire,England,Switchboard operator,Samsung,Android OS,Red,Post-Pay,DD,24,36.705,1.704633774,0.046351287,77.8276,119.752,823.3172,29,0
1000472,male,Mr.,Macclesfield,Cheshire,England,Personnel associate,Samsung,Android OS,Red Premium,Post-Pay,DD,18,46.596,1.595244296,0.033301462,112.42,202.065,1231.218,25,0
1000473,male,Mr.,Holywood,County Down,Northern Ireland,Nurse informaticist,Motorola,Proprietary,Red Premium,Post-Pay,DD,18,46.902,1.900427336,0.040263432,159.603,287.247,1431.859,30,0
1000475,female,Mrs.,Dunmore,Falkirk,Scotland,Lifeguard,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,72.516,7.515933534,0.101401242,671.453,736.279,5702.867,55,0
1000478,male,Mr.,Tayport,Fife,Scotland,Information architect,Nokia,Proprietary,Red Premium,Post-Pay,DD,18,47.378,2.378220396,0.050039325,166.473,285.163,1432.126,44,0
1000479,male,Mr.,Eaglescliffe,County Durham,England,Mixing and blending machine operator,Nokia,Proprietary,Red Essentials,Post-Pay,CC,24,56.717,6.717228444,0.117667346,321.305,594.92,4367.449,36,0
1000480,male,Mr.,Penzance,Cornwall,England,Harbor pilot,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.978,5.978472372,0.076704803,368.761,462.374,6436.108,15,0
1000481,male,Mr.,Glenrothes,Fife,England,Photographic retoucher,Nokia,Symbian OS ,Red Essentials,Post-Pay,CC,24,59.715,9.713173473,0.162318131,321.695,566.871,4067.474,19,1
1000482,male,Mr.,Benarty,Fife,Scotland,Constructor,Motorola,Android OS,Red Essentials Premium,Post-Pay,CC,18,78.098,13.09687814,0.165405619,489.679,885.073,7417.188,56,0
1000483,male,Mr.,Cambridge,Cambridgeshire,England,Dental assistant,Nokia,Proprietary,Red Premium,Post-Pay,DD,18,46.822,1.822444123,0.038701708,161.149,288.595,1415.383,61,0
1000484,male,Mr.,Newbury,Berkshire,England,Window clerk,Apple,iOS,Red,Post-Pay,CC,24,35.734,0.733191196,0.020173156,56.7631,82.3946,658.6348,45,0
1000485,male,Mr.,Larbert,Falkirk,Scotland,Mason,Nokia,Symbian OS ,Red,Post-Pay,CC,24,35.996,0.994871388,0.027512473,79.0953,145.819,697.4976,58,0
1000487,female,Mrs.,Portsoy,Aberdeenshire,Scotland,Remote sensing specialist,Nokia,Symbian OS ,Red Essentials Premium,Post-Pay,CC,18,70.781,5.782543602,0.080913406,657.215,844.502,5612.397,57,0
1000488,male,Mr.,Reading,Berkshire,England,Vice president,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.793,5.794112027,0.074291981,308.578,496.31,6088.934,39,0
1000489,female,Mrs.,Brechin,Angus,Scotland,Industrial photographer,Samsung,Android OS,Red Essentials Premium,Post-Pay,CC,18,76.694,11.69678675,0.150828329,673.399,770.322,6617.612,19,0
1000490,male,Mr.,March,Cambridgeshire,England,Knitting machine operator,Nokia,Microsoft,Red Essentials,Post-Pay,CC,24,60.666,10.66571334,0.172362387,345.815,592.22,4193.842,39,1
1000491,female,Mrs.,Camborne,Cornwall,England,Interior designer,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,77,11.99870441,0.153167278,677.772,748.187,6613.268,57,0
1000494,female,Ms.,Newlyn,Cornwall,England,Weaving machine operator,Apple,iOS,Red Essentials,Post-Pay,CC,24,57.391,7.390499363,0.127834523,437.414,498.415,4033.395,21,0
1000495,female,Mrs.,Newburgh,Fife,Scotland,Meeting director,Nokia,Proprietary,Red,Post-Pay,DD,24,35.883,0.882830585,0.024559947,106.785,144.54,540.6183,66,0
1000497,male,Mr.,Portree,Highlands,Scotland,Custom inspector,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,76.338,11.33789966,0.146276758,472.769,728.518,7119.121,74,0
1000498,male,Mr.,Brora,Highlands,Scotland,Actor,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,74.218,9.218453424,0.122098264,491.697,746.438,6881.932,45,0
1000499,male,Mr.,Winslow,Buckinghamshire,England,Critical care nurse,HTC,Android OS,Red Super,Post-Pay,DD,24,85.871,10.87096444,0.125534101,648.974,962.49,8254.085,62,0
1000500,male,Mr.,Methil,Fife,Scotland,System operator,Nokia,Microsoft,Red Premium,Post-Pay,DD,18,45.814,0.812993541,0.017330066,108.004,231.134,1056.286,23,0
1000501,male,Mr.,Newlyn,Cornwall,England,Organic chemist,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,81.083,16.08209145,0.197498874,482.267,735.179,7958.382,49,0
1000503,male,Mr.,Tayport,Fife,Scotland,U.S. Border Patrol agent,Apple,iOS,Red Super,Post-Pay,DD,24,95.385,20.38577097,0.210817617,640.598,982.301,10212.92,33,0
1000504,male,Mr.,Nantwich,Cheshire,England,Posting clerk,Motorola,Proprietary,Red Essentials,Post-Pay,DD,24,52.735,2.734769704,0.049718973,255.44,375.288,3172.472,21,0
1000505,male,Mr.,Maryport,Cumbria,England,Dry-cleaning worker,LG,Proprietary,Red Super,Post-Pay,CC,24,86.082,11.08143476,0.127407452,622.944,933.676,8221.833,32,0
1000506,female,Mrs.,Monifieth,Angus,Scotland,Homeowner association manager,Motorola,Android OS,Red Essentials Premium,Post-Pay,DD,18,71.03,6.029346596,0.0813526,676.846,897.235,5402.092,66,0
1000507,female,Ms.,Moffat,Dumfries and Galloway,Scotland,Scientific illustrator,Samsung,Android OS,Red,Post-Pay,CC,24,36.196,1.196047027,0.032858666,108.031,121.708,682.7045,27,0
1000508,male,Mr.,Portsoy,Aberdeenshire,Scotland,Hand packer,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,71.573,6.574129885,0.083896557,352.698,540.235,5953.049,30,0
1000509,female,Ms.,Glenrothes,Fife,Scotland,Maintenance technician,Motorola,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.273,5.272639765,0.0735906,659.961,885.981,5473.209,37,0
1000511,male,Mr.,Stanley,County Durham,England,Director,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,60.525,10.52439583,0.172906136,324.409,493.15,4847.594,44,0
1000512,male,Mr.,Consett,County Durham,England,Event planner,Nokia,Proprietary,Red,Post-Pay,DD,24,35.258,0.25895818,0.007268105,55.5944,104.341,446.419,46,0
1000513,male,Mr.,Portadown,County Armagh,Northern Ireland,Social and human service assistant,Motorola,Android OS,Red Essentials,Post-Pay,DD,24,61.144,11.14523377,0.179717063,338.638,590.209,4073.333,40,1
1000514,female,Ms.,Oldmeldrum,Aberdeenshire,Scotland,Conference service coordinator,HTC,Android OS,Red Premium,Post-Pay,DD,18,46.538,1.537410634,0.032802922,216.954,241.661,1129.588,57,0
1000515,male,Mr.,Banff and Macduff,Aberdeenshire,Scotland,Biochemist,Nokia,Proprietary,Red,Post-Pay,DD,24,36.128,1.127606518,0.0311069,80.0452,146.784,699.8671,14,0
1000517,male,Dr.,Holywood,County Down,Northern Ireland,Health educator,Motorola,Android OS,Red,Post-Pay,DD,24,36.323,1.323601323,0.036351953,80.4656,145.79,706.9642,16,0
1000518,female,Ms.,North Berwick,Lothian,Scotland,News vendor,LG,Proprietary,Red,Post-Pay,CC,24,36.83,1.830007053,0.049321677,116.437,126.917,536.9347,19,1
1000519,male,Mr.,Eaglescliffe,County Durham,England,Jeweler,Motorola,Proprietary,Red,Post-Pay,DD,24,36.088,1.088278418,0.030044913,81.0942,142.649,730.3151,37,0
1000520,male,Mr.,Fowey,Cornwall,England,HIV/AIDS nurse,Apple,iOS,Red Super,Post-Pay,CC,24,91.347,16.3468969,0.155400104,483.592,609.846,7409.939,50,1
1000521,female,Mrs.,Harrington,Cumbria,England,Custodian,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,69.981,4.980904987,0.068625443,648.386,871.636,5871.068,33,0
1000523,male,Mr.,Penzance,Cornwall,England,Marine electronics technician,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,79.614,14.61488416,0.181195439,469.765,723.629,8818.113,23,0
1000524,female,Mrs.,Newburgh,Fife,Scotland,Addictions nurse,Samsung,Android OS,Red,Post-Pay,CC,24,35.2,0.200558403,0.005655501,80.4178,85.8368,617.9511,69,1
1000525,female,Ms.,Fort William,Highlands,Scotland,Geological technician,Samsung,Android OS,Red Super,Post-Pay,DD,24,108.54,33.53947249,0.303684521,900.609,966.215,8642.261,15,1
1000526,female,Ms.,Marazion,Cornwall,England,News camera operator,Samsung,Android OS,Red Super,Post-Pay,DD,24,90.763,15.76331585,0.171185621,855.093,980.001,7934.247,37,0
1000527,male,Mr.,Padstow,Cornwall,England,Baker,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,76.913,11.91267837,0.153266036,458.603,714.383,6961.585,47,0
